Match ,Teams,Venue,Comebacks,Late Goal,Penalties,Missed Penalties,Free Kick Goals,Hattricks,Braces,Lead Changes,ET/Penalty Shootout,Disallowed Goals,VAR Penalties ,VAR Penalties Overturned,Competition,Stage,C_score,S_score,CS_score,Raw_Ent_score,Ent_score,Tension Score,Diff Score,Normalized stat score abs,Raw Final Score,Final Score,Adj Final Score,Avg Final Score,Raw Label,Label,Adj Label,Avg Label
UCL_SF_L1,Barcelona vs Inter,Estadi Olímpic Lluís Companys,2,0,0,0,0,0,1,2,0,0,0,0,UCL,SF,3,4,3.5,9,12.5,12.5,0,10.212,12.6848,14.0848,11.4704,12.74666667,Banger 🎯,Absolute Cinema 🍿,Banger 🎯,Banger 🎯
UCL_SF_L2,Inter vs Barcelona,San Siro,2,2,1,0,0,0,0,3,0,0,1,0,UCL,SF,3,4,3.5,14,17.5,13.5,4,10.309,15.1236,16.5236,13.86405,15.17041667,Absolute Cinema 🍿,Absolute Cinema 🍿,Absolute Cinema 🍿,Absolute Cinema 🍿
UCL_RO16_L1,PSG vs Liverpool,Parc des Princes,0,0,0,0,0,0,0,1,0,0,0,0,UCL,RO16,3,2,2.5,1,3.5,8,-4.5,12.948,8.7792,9.7792,8.2016,8.92,Decent Match ⚖️,Decent Match ⚖️,Decent Match ⚖️,Decent Match ⚖️
UCL_RO16_L2,Liverpool vs PSG ,Anfield,0,0,0,0,0,0,0,1,1,1,0,0,UCL,RO16,3,2,2.5,5.5,8,9,-1,2.739,6.8956,7.8956,6.0956,6.962266667,Forgettable 😴,Decent Match ⚖️,Forgettable 😴,Forgettable 😴
UCL_GS_,Benfica vs Barcelona,Estádio do Sport Lisboa e Benfica,1,2,3,0,0,1,2,4,0,0,3,0,UCL,GS,3,0,1.5,20.5,22,5,17,11.681,14.8724,15.4724,15.65645,15.33375,Absolute Cinema 🍿,Absolute Cinema 🍿,Absolute Cinema 🍿,Absolute Cinema 🍿
UEL_QF_L2,Man United vs Lyon,Old Trafford,2,2,2,0,0,0,0,3,1,0,2,0,UEL,QF,2,3,2.5,19,21.5,7.5,14,3.156,11.8624,12.8624,11.8452,12.19,Banger 🎯,Banger 🎯,Banger 🎯,Banger 🎯
UCL_F_,PSG vs Inter,Allianz Arena,0,1,0,0,0,0,1,0,0,0,0,0,UCL,F,3,5,4,2.5,6.5,11,-4.5,7.729,8.4916,10.0916,7.8916,8.824933333,Decent Match ⚖️,Banger 🎯,Decent Match ⚖️,Decent Match ⚖️
UCL_RO16_L1,Real Madrid vs Atlético Madrid,Estadio Santiago Bernabeu,0,0,0,0,0,0,0,2,0,0,0,0,UCL,RO16,3,2,2.5,2,4.5,14.25,-9.75,3.29,7.816,8.816,5.966,7.532666667,Decent Match ⚖️,Decent Match ⚖️,Forgettable 😴,Forgettable 😴
UCL_RO16_L2, Atlético Madrid vs Real Madrid,Riyadh Air Metropolitano,0,0,0,0,0,0,0,1,1,1,0,0,UCL,RO16,3,2,2.5,5.5,8,15.25,-7.25,5.746,10.5984,11.5984,8.5484,10.2484,Banger 🎯,Banger 🎯,Decent Match ⚖️,Decent Match ⚖️
CUP_F_,Barcelona vs Real Madrid,Estadio de La Cartuja,2,2,0,0,0,0,0,3,1,0,0,1,CUP,F,2,5,3.5,17,20.5,17,3.5,6.215,16.086,17.486,13.72175,15.76458333,Absolute Cinema 🍿,Absolute Cinema 🍿,Absolute Cinema 🍿,Absolute Cinema 🍿
